"GSA
Organization",Region,Award Status,Product or Service Description,"Place of Performance
(City)","Place of Performance
(State)",Primary NAICS Code,Socioeconomic Category,Contract Type,Procurement Method,Competition Strategy,From (Min),To (Max),Delivery Order Value,"Incumbent Contractor Name
(if applicable)","Contract/Order Number
(if applicable)","New Requirement
or Exercise of Option or Recompete",Funding Agency/Office,Estimated Solicitation Date,"Link to Solicitation in FedBizOpps
(if available)","Estimated Award Fiscal Year
and Quarter","Point of Contact
(Name)","Point of Contact
(Email Address)",OSBU Small Business Technical Advisor (SBTA),Additional Information
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,"Provide construction services for the HUD 26th Floor Office Realignment at the Metcalfe Federal Building in Chicago, IL.", CHICAGO,IL,236220,Small Business,Firm Fixed Price,Order Under IDV,Competitive Delivery Order Fair Opportunity Provided,"$100,000.00 ","$250,000.00 ",,"LAWDENSKY CONSTRUCTION, INC.",GS05P11FBD0026 / GSP0514FB0082,New Requirement,GSA funded,,Solicitation Number NA,FY 2015-1st Quarter,"Matusik, Matthew", Matthew.Matusik@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,"Provide Construction Services for VA Medical Center Compensation and Pension Clinic Annex on the 1st Floor and basement in the Whipple Federal Building, Fort Snelling, MN.", FORT SNELLING,MN,236220,Small Business,Firm Fixed Price,Order Under IDV,Competitive Delivery Order Fair Opportunity Provided,"$1,000,000.00 ","$5,000,000.00 ",,"HAMLINE CONSTRUCTION, INC.",GS05P11FBD0030 / GSP0514FB0100,New Requirement,GSA funded,,Solicitation Number NA,FY 2015-1st Quarter,"Matusik, Matthew", Matthew.Matusik@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,"Provide Construction Services to build-out space for VBA 2nd Floor Fiduciary Hub Project in the Minton-Capehart Federal Building, Indianapolis, IN.", INDIANAPOLIS,IN,236220,Small Business,Firm Fixed Price,Order Under IDV,Competitive Delivery Order Fair Opportunity Provided,"$500,000.00 ","$1,000,000.00 ",,"LAWDENSKY CONSTRUCTION, INC.",GS05P11FBD0026 / GSP0513FB0051,New Requirement,GSA funded,,Solicitation Number NA,FY 2015-1st Quarter,"Matusik, Matthew", Matthew.Matusik@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,"Provide labor, material & supervision to install two (2) surface mounted 208 Volt L6-30R dedicated recepticles in the data room.", CHICAGO,IL,531190,Other Than Small,Firm Fixed Price,Purchase Order,None,$0.00 ,"$25,000.00 ",,"PRII PRESIDENTS PLAZA JV, LLC",GS-05P-15-SI-P-0018 / ,New Requirement,GSA funded,,Solicitation Number 5PSSAF-15-0023,FY 2015-1st Quarter,"Schlacks, Daniel", Daniel.Schlacks@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,"Provide materials and labor to add two (2) interview windows and reocate cubicles at the SSA Field Office located at 7440 Providence Dr, Woodridge, IL OR 2040 75TH STREET, WOODRIDGE, IL", WOODRIDGE,IL,531190,Other Than Small,Firm Fixed Price,Purchase Order,None,"$25,000.00 ","$100,000.00 ",,"WOODRIDGE SSA, LLC",GS-05P-15-SI-P-0006 / ,New Requirement,GSA funded,,Solicitation Number 5PSSAF-14-0002,FY 2015-1st Quarter,"Mazzolini, David", David.Mazzolini@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,"PROVIDE O/T HVAC FOR FY14 TO TSA AT 9377 HIGGINS RD., ROSEMONT, IL", ROSEMONT,IL,531190,Other Than Small,Firm Fixed Price,Purchase Order,None,"$100,000.00 ","$250,000.00 ",,BRE/COH RIVERWAY LLC,GS-05P-14-SI-P-0025 / ,New Requirement,GSA funded,,Solicitation Number 5PSSAF-14-0030,FY 2015-1st Quarter,"Schlacks, Daniel", Daniel.Schlacks@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,"Provide overtime utilities to the SSA Office located at 6300 W. Fond du Lac Avenue, Milwaukee, WI for the period of April 1, 2014 through June 30, 2014. This is supplemental to GS-05B-16089", MILWAUKEE,WI,221,Small Business,Firm Fixed Price,Purchase Order,None,$0.00 ,"$25,000.00 ",,SSA Milwaukee LLC,GS05P15SAP0011 / N/A,New Requirement,GSA funded,,Solicitation Number N/A,FY 2015-1st Quarter,"Williams, Susan", Susan.Williams@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,"Provide Programming and Construction Design Services for VA Hospital Compensation and Pension Clinic Annex in the Whipple Federal Building, Fort Snelling, MN.", FORT SNELLING,MN,541310,Small Business,Firm Fixed Price,Order Under IDV,Competitive Delivery Order Fair Opportunity Provided,"$250,000.00 ","$500,000.00 ",,"HAMMEL, GREEN AND ABRAHAMSON, INC.",GS05P10SAD0021 / GSP0513FB0091,New Requirement,GSA funded,,Solicitation Number NA,FY 2015-1st Quarter,"Matusik, Matthew", Matthew.Matusik@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,"Re-paint and install photoluminescent materials in the East stairwell located at the Federal Parking Facility, 450 S. Federal, Chicago, IL.", CHICAGO,IL,236220,Woman-Owned Small Business,Firm Fixed Price,Order Under IDV,Competitive Delivery Order Fair Opportunity Provided,"$25,000.00 ","$100,000.00 ",,"BROCK CONSTRUCTION, INC.",GS-05P-13-SI-D-0085 / GS-P-05-14-SI-5003,New Requirement,GSA funded,,,FY 2015-1st Quarter,"Gonzalez, Lisa", Lisa.Gonzalez@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,"Refinish Garage Floor - US Customs - 962 North Shore Dr., Lake Bluff, IL", LAKE BLUFF,IL,531190,Other Than Small,Firm Fixed Price,Purchase Order,None,$0.00 ,"$25,000.00 ",,TCI PROPERTIES LLC,GS-05P-14-SI-P-0073 / ,New Requirement,GSA funded,,Solicitation Number 5PSSAF-14-0112,FY 2015-1st Quarter,"Schlacks, Daniel", Daniel.Schlacks@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,Region 5 Move Consultant IDIQ Contract , FORT SNELLING,MN,484210,Small Business,Firm Fixed Price,Contract,None,$0.00 ,"$25,000.00 ",,"CARTER GROUP, INC., THE",GS05P10FBD0005 / NA,New Requirement,GSA funded,,Solicitation Number NA,FY 2015-1st Quarter,"Matusik, Matthew", Matthew.Matusik@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,"Relocate ACF data and phone lines from IDF closet with OCR suite 240. 233 N. Michigan, Chicago, IL IL", CHICAGO,IL,531190,Other Than Small,Firm Fixed Price,Purchase Order,None,$0.00 ,"$25,000.00 ",,"REIT MANAGEMENT & RESEARCH, LLC",GS-05P-14-SI-P-0071 / ,New Requirement,GSA funded,,Solicitation Number 5PSSAF-14-0134,FY 2015-1st Quarter,"Schlacks, Daniel", Daniel.Schlacks@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,Relocate fire alarm panel & Room 102 reno, DULUTH,MN,236220,Small Business,Firm Fixed Price,Order Under IDV,Competitive Delivery Order Fair Opportunity Provided,"$100,000.00 ","$250,000.00 ",,"Hamline Construction, Inc.",GS05P13SED0020 / GSP0514SA5022,New Requirement,GSA funded,6/6/14,Solicitation Number 5PSS3P2-14-0009,FY 2015-1st Quarter,"Sieben, Ron", Ron.Sieben@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,Remodel spaces to construct new training center., CHICAGO,IL,236220,Small Business,Firm Fixed Price,Order Under IDV,Competitive Delivery Order Fair Opportunity Provided,"$500,000.00 ","$1,000,000.00 ",,"LAWDENSKY CONSTRUCTION, INC.",GS05P11FBD0026 / GSP0513FB0085,New Requirement,GSA funded,,Solicitation Number NA,FY 2015-1st Quarter,"Deodhar, Neal", Neal.Deodhar@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,Renewal of Dun & Bradstreet subscription for use by Contracting Officers- Contract # GS-22F-9614D,,REGIONWIDE,484210,Other Than Small,Firm Fixed Price,Purchase Order,None,$0.00 ,"$25,000.00 ",,"DUN & BRADSTREET, INC.",GS22F9614D / GSP05P15FA0002,New Requirement,GSA funded,,,FY 2015-1st Quarter,"Britten, Patricia", Patricia.Britten@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,"Renovation and build out of FBI space in O'Hare International Airport, Chicago, IL", CHICAGO,IL,236220,HUBZone Small Business,Firm Fixed Price,Contract,HUBZone,"$500,000.00 ","$1,000,000.00 ",,"FEDERAL CONSTRUCTORS, INC.",GS05P12FBC0014 / ,New Requirement,GSA funded,6/20/11,Solicitation Number GS-05P-11-FB-C-0049,FY 2015-1st Quarter,"Pirtle, Phyllis", Phyllis.Pirtle@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,Replace 5 drinking fountains with new fountains/bottle filling stations at the Seiberling FB and USCH., AKRON,OH,238220,Woman-Owned Small Business,Firm Fixed Price,GSA Schedule Order,None,$0.00 ,"$25,000.00 ",,"CMC & MAINTENANCE, INC.",GS06F0106S / GSP0514SL0154,New Requirement,GSA funded,,Solicitation Number N/A,FY 2015-1st Quarter,"Jayjack, Sarah", Sarah.Jayjack@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,"Replace AHU 17 and 19, Findley Federal Building, Springfield, IL", SPRINGFIELD,IL,541310,Small Business,Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,"$25,000.00 ","$100,000.00 ",,"BAILEY EDWARD DESIGN, INC.",GS05P11SCC0068 / GS-P-05-14-SC-0084,New Requirement,GSA funded,,,FY 2015-1st Quarter,"Costello, Justin ", Justin .Costello@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,"REPLACE CHILD CARE DOOR AT THE AJC FEDERAL BUILDING, 1240 EAST NINTH STREET, CLEVELAND, OHIO 44199.", CLEVELAND,OH,236220,Small Business,Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,$0.00 ,"$25,000.00 ",,ERIE AFFILIATES INC,GS05P10SLD0004 / GSP0514SL0104,New Requirement,GSA funded,,Solicitation Number N/A,FY 2015-1st Quarter,"Bogan-Ridley, Kimberly", Kimberly.Bogan-Ridley@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,Replace Chiller Control Panel, INDIANAPOLIS,IN,541310,Small Business,Firm Fixed Price,Order Under IDV,Competitive Delivery Order Fair Opportunity Provided,$0.00 ,"$25,000.00 ",,Bailey Edward Design,GS05P11SCC0068 / GSP0515SC0051,New Requirement,GSA funded,1/15/15,Solicitation Number GSP0515SC0051,FY 2015-1st Quarter,"Harris, Martin", Martin.Harris@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,REPLACE SEWAGE EJECTOR SYSTEM, CINCINNATI,OH,238220,Other Than Small,Firm Fixed Price,Purchase Order,None,$0.00 ,"$25,000.00 ",,L B & B ASSOCIATES INC.,GS05P15SLP0016 / ,New Requirement,GSA funded,12/18/14,Solicitation Number GS05P15SLP0016,FY 2015-1st Quarter,"Jayjack, Sarah", Sarah.Jayjack@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,Replacement of Glass Panels @ Metcalfe & 536 FBs,,IL,236220,Woman-Owned Small Business,Firm Fixed Price,Order Under IDV,Competitive Delivery Order Fair Opportunity Provided,"$100,000.00 ","$250,000.00 ",,"BROCK CONSTRUCTION, INC.",GS-05P-13-SI-D-0085 / GS-P-05-15-SI-0016,New Requirement,GSA funded,,,FY 2015-1st Quarter,"Gonzalez, Lisa", Lisa.Gonzalez@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,Replacement of private judge's elevators at courthouse, SAINT PAUL,MN,541310,Other Than Small,Firm Fixed Price,Order Under IDV,Competitive Delivery Order Fair Opportunity Provided,"$25,000.00 ","$100,000.00 ",,"DLR Group
Michael Clark, 612-977-3500
mclark@dlrgroup.com",GS-05P-10-SE-D-0029 / GS-P-05-15-SA-5011  ,New Requirement,GSA funded,4/15/14,Solicitation Number Work Order 411,FY 2015-1st Quarter,"Cardiel, Shanta", Shanta.Cardiel@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,"ROOF REPAIRS AT THE HOWARD M. METZENBAUM USCH, 201 SUPERIOR AVNUE, CLEVELAND, OHIO 44114.", CLEVELAND,OH,236220,Small Business,Firm Fixed Price,Order Under IDV,Competitive Delivery Order Fair Opportunity Provided,"$100,000.00 ","$250,000.00 ",,ERIE AFFILIATES INC,GS05P10SLD0004 / GSP0514SL0161,New Requirement,GSA funded,8/11/14,Solicitation Number OH0033ZZ02214,FY 2015-1st Quarter,"Jayjack, Sarah", Sarah.Jayjack@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,"Security Addition - MEPS - 8700 W. Bryn Mawr, Chicago, IL", CHICAGO,IL,531190,Other Than Small,Firm Fixed Price,Purchase Order,None,$0.00 ,"$25,000.00 ",,"PRII PRESIDENTS PLAZA JV, LLC",GS-05P-14-SI-P-0075 / ,New Requirement,GSA funded,,Solicitation Number 5PSSAF-14-0140,FY 2015-1st Quarter,"Schlacks, Daniel", Daniel.Schlacks@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,SECURITY UPGRADE, HILLSIDE,IL,531190,Other Than Small,Firm Fixed Price,Purchase Order,None,$0.00 ,"$25,000.00 ",,SSA HILLSIDE LLC,GS-05P-15-SI-P-0017 / ,New Requirement,GSA funded,,Solicitation Number 5PSSAF-15-0021,FY 2015-1st Quarter,"Schlacks, Daniel", Daniel.Schlacks@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,Service agreement to perform a semi-annual maintenance and inspection on EPA's four Liebert AC units that serve the main server room on the 12th floor at Metcalfe., CHICAGO,IL,236220,Other Than Small,Firm Fixed Price,Order Under IDV,Competitive Delivery Order Fair Opportunity Provided,$0.00 ,"$25,000.00 ",,"WILSON 5 SERVICE COMPANY, INC.",GS-06F-0051R / GS-P-05-14-SI-0067,New Requirement,GSA funded,,,FY 2015-1st Quarter,"Delgado, Edgar", Edgar.Delgado@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,"Snow removal services at the Whipple, and Social Security Administration and Federal Office Building in Minneapolis, MN (Short Term)",,MN,561790,Small Business,Firm Fixed Price,Commercial Item Contract,None,"$25,000.00 ","$100,000.00 ",,"Minnehaha Falls Nursery & Garden Store, Inc.",GS05P15SAP0009 / NA,New Requirement,GSA funded,11/17/14,Solicitation Number GS05P15SAP0009,FY 2015-1st Quarter,"Buchalski, Rosie", Rosie.Buchalski@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,South Bldg Roof Replace Design and M&I Services, MILWAUKEE,WI,236220,Other Than Small,Firm Fixed Price,Order Under IDV,Competitive Delivery Order Fair Opportunity Provided,"$25,000.00 ","$100,000.00 ",,"Hammel, Green and Abrahamson, Inc.",GS05P10SAD0021 / GSP0514SA5010,New Requirement,GSA funded,,,FY 2015-1st Quarter,"Sieben, Ron", Ron.Sieben@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,South Building Roof Replacement, MILWAUKEE,WI,236220,Small Business,Firm Fixed Price,Order Under IDV,Competitive Delivery Order Fair Opportunity Provided,"$500,000.00 ","$1,000,000.00 ",,"Lawdensky Construction, Inc.",GS05P11FBD0026 / GSP0514SA5020,New Requirement,GSA funded,,,FY 2015-1st Quarter,"Sieben, Ron", Ron.Sieben@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,"Spring 2015 WINDOW WASHING BOTH INTERIOR AND EXTERIOR AT THE JOHN W. BRICKER FEDERAL BUILDING, 200 NORTH HIGH STREET, COLUMBUS, OHIO 43215", COLUMBUS,OH,484210,Small Business,Firm Fixed Price,Order Under IDV,Competitive Delivery Order Fair Opportunity Provided,$0.00 ,"$25,000.00 ",,VGS,GS05P12SLD0002 / GSP0515SL0044,New Requirement,GSA funded,,,FY 2015-1st Quarter,"Jones, Lisa Michelle", Lisa Michelle.Jones@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,SSA OTU for fiscal 2014, CHICAGO,IL,531190,Small Business,Firm Fixed Price,Purchase Order,None,$0.00 ,"$25,000.00 ",,HISPANIC HOUSING DEVELOPMENT CORPORATION,GS-05P-15-SI-P-0014 / ,New Requirement,GSA funded,,Solicitation Number 5PSSAF-15-0012,FY 2015-1st Quarter,"Schlacks, Daniel", Daniel.Schlacks@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,SSA OVERTIME UTILITIES FOR LOCATION IL2414ZZ, CHICAGO,IL,531190,Small Business,Firm Fixed Price,Purchase Order,None,$0.00 ,"$25,000.00 ",,HISPANIC HOUSING DEVELOPMENT CORPORATION,GS-05P-15-SI-P-0015 / ,New Requirement,GSA funded,,Solicitation Number 5PSSAF-14-0013,FY 2015-1st Quarter,"Schlacks, Daniel", Daniel.Schlacks@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,Supplemental Electric Nov & De 2015, CHICAGO,IL,531190,Other Than Small,Firm Fixed Price,Purchase Order,None,$0.00 ,"$25,000.00 ",,"FBI CHICAGO PARTNERS, LLC",GS-05P-15-SI-P-0029 / ,New Requirement,GSA funded,,Solicitation Number 5PSSAF-15-0025,FY 2015-1st Quarter,"Schlacks, Dan", Dan.Schlacks@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,Task Order: cipher lock install for IRS at the AJC, CLEVELAND,OH,238220,Small Business,Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,$0.00 ,"$25,000.00 ",,"URBAN SERVICES GROUP, INC.",GS05P14SLD0004 / GSP0515SL0058,New Requirement,GSA funded,,Solicitation Number N/A,FY 2015-1st Quarter,"Bilek-Hammond, Connie", Connie.Bilek-Hammond@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,Task Order: Contractor is to install motion sensors at garage handicapped door at the AJC, CLEVELAND,OH,238220,Small Business,Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,$0.00 ,"$25,000.00 ",,"URBAN SERVICES GROUP, INC.",GS05P14SLD0004 / GSP0515SL0040,New Requirement,GSA funded,,Solicitation Number N/A,FY 2015-1st Quarter,"Bilek-Hammond, Connie", Connie.Bilek-Hammond@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,Task Order: Contractor is to perform cooling tower sump pump analysis at the Stokes,,OH,238220,Small Business,Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,$0.00 ,"$25,000.00 ",,"URBAN SERVICES GROUP, INC.", / GSP0515SL0051,New Requirement,GSA funded,,Solicitation Number N/A,FY 2015-1st Quarter,"Bilek-Hammond, Connie", Connie.Bilek-Hammond@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,Task Order: Contractor is to replace broken window glass on 15th floor of Stokes, CLEVELAND,OH,238220,Small Business,Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,$0.00 ,"$25,000.00 ",,"URBAN SERVICES GROUP, INC.",GS05P14SLD0004 / GSP0515SL0053,New Requirement,GSA funded,,Solicitation Number N/A,FY 2015-1st Quarter,"Bilek-Hammond, Connie", Connie.Bilek-Hammond@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,Task Order: emergency OT hours for sprinkler head failure at AJC, CLEVELAND,OH,238220,Small Business,Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,$0.00 ,"$25,000.00 ",,"URBAN SERVICES GROUP, INC.",GS05P14SLD0004 / GSP0515SL0054,New Requirement,GSA funded,,Solicitation Number N/A,FY 2015-1st Quarter,"Bilek-Hammond, Connie", Connie.Bilek-Hammond@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,Task Order: Non-destructive chiller tube eddy testing at the Stokes, CLEVELAND,OH,238220,Small Business,Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,$0.00 ,"$25,000.00 ",,"URBAN SERVICES GROUP, INC.",GS05P14SLD0004 / GSP0515SL0055,New Requirement,GSA funded,,,FY 2015-1st Quarter,"Bilek-Hammond, Connie", Connie.Bilek-Hammond@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,"TEST AND REMOVE INACTIVE CABLING IN CLOSETS LOCATED IN SEVERAL AREAS AT THE JOHN W. PECK FOB, 550 MAIN STREET, CINCINNATI, OHIO 45202", CINCINNATI,OH,238220,Other Than Small,Firm Fixed Price,Order Under IDV,Competitive Delivery Order Fair Opportunity Provided,$0.00 ,"$25,000.00 ",,L B & B ASSOCIATES INC.,GS05P11SLD0111 / GSP0514SL0156,New Requirement,GSA funded,,Solicitation Number N/A,FY 2015-1st Quarter,"Jayjack, Sarah", Sarah.Jayjack@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,"The purpose of this is to award the IRS move from the URS Building in Cincinnati OH. Boxes need to be delivered by Jan 2, 2015.", CINCINNATI,OH,484210,Small Business,Firm Fixed Price,Order Under IDV,Competitive Delivery Order Fair Opportunity Provided,$0.00 ,"$25,000.00 ",,COMPLETE QUALITY INSTALLATION SERVICES INC,GS05P11GAD0006 / GSP0515SL0017,New Requirement,GSA funded,11/14/14,Solicitation Number OH2061ZZ04814,FY 2015-1st Quarter,"Vaccari, Rebecca", Rebecca.Vaccari@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,To award base design services for USMS SOIB Detroit Task Force Space., DETROIT,MI,541310,Small Business,Firm Fixed Price,Order Under IDV,Competitive Delivery Order Fair Opportunity Provided,$0.00 ,"$25,000.00 ",,"GHAFARI ASSOCIATES, L.L.C.",GS05P09GBD0009 / GSP0513FB0037,New Requirement,GSA funded,,Solicitation Number NA,FY 2015-1st Quarter,"Matusik, Matthew", Matthew.Matusik@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,To complete misc. punch list, MATTESON,IL,531190,Other Than Small,Firm Fixed Price,Purchase Order,None,$0.00 ,"$25,000.00 ",,Marc Realty,GS-05P-15-SI-P-0030 / ,New Requirement,GSA funded,,Solicitation Number 5PSSAF-15-0028,FY 2015-1st Quarter,"Schlacks, Dan", Dan.Schlacks@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,"To complete USMS Office Reconfiguration Project in the Kinneary USCH, 85 Marconi Blvd, Columbus OH. Work to be done as outlined in RFQ OH0046ZZ03414", COLUMBUS,OH,236220,Other Than Small,Firm Fixed Price,Order Under IDV,Competitive Delivery Order Fair Opportunity Provided,"$25,000.00 ","$100,000.00 ",,"F.H. PASCHEN, S.N. NIELSEN & ASSOCIATES LLC",GS05P10SLD0005 / GSP0515SL0005,New Requirement,GSA funded,9/16/14,Solicitation Number OH0189CN03614,FY 2015-1st Quarter,"Vaccari, Rebecca", Rebecca.Vaccari@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,To provide Dayton TSA with Janitorial services to begin 9.1.14., DAYTON,OH,561720,Small Business,Firm Fixed Price,Indefinite Delivery Indefinite Quantity-IDIQ,Small Business,$0.00 ,"$25,000.00 ",,"WIGGINS CLEANING & CARPET SERVICE, INC.",GS05P14SLD0050 / ,New Requirement,GSA funded,6/17/14,Solicitation Number GS-05P-14-SL-D-0050,FY 2015-1st Quarter,"Vaccari, Rebecca", Rebecca.Vaccari@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
PBS-Public Buildings Service,R5-Great Lakes Region,Awarded,U.S. Probation Office Relocation , ANN ARBOR,MI,541310,Small Business,Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,$0.00 ,"$25,000.00 ",,"G.H. Forbes, Scott Goodsell, sgoodsell@ghfaa.com, 248.542.7866",GS05P13SVD0030 / GSP0515FB0016,New Requirement,GSA funded,,,FY 2015-1st Quarter,"Styzek, Jennifer", Jennifer.Styzek@gsa.gov,"Shannon Banks, 312-353-1100,shannon.banks@gsa.gov",
